SENSORIMOTOR_SOURCE_DOMAIN,TYPE,IMAGE_SCHEMA_ANNOTATION,SOURCE_DOMAIN_FRAME,"FrameNet (frame), MetaNet (framedata)",TARGET_DOMAIN_FRAME,"FrameNet (frame), MetaNet (framedata)",CONCEPTUAL_METAPHOR,Language,LinguisticExamples,[SOURCE],TAKEN FROM,COMMENT ,
SOURCE_PATH_GOAL,SPATIAL_PRIMITIVE,SOURCE_PATH_GOAL,Race,framedata:Race,Election,framedata:Election,ELECTION IS A RACE,en,"With the official start of primary season, candidates were off and running as they sought to quickly raise millions of dollars for ad buys. ",MetaNet,MetaNet,,
SOURCE_PATH_GOAL,SPATIAL_PRIMITIVE,SOURCE_PATH_GOAL,Race,framedata:Race,Election,framedata:Election,ELECTION IS A RACE,en,The Iowa caucuses in January 2012 serve as the starting line of the marathon primary-election campaigns necessary ...,http://articles.philly.com/2010-03-10/news/24957042_1_santorum-iowa-republican-party-ralph-reed,MetaNet,,
SOURCE_PATH_GOAL,SPATIAL_PRIMITIVE,SOURCE_PATH_GOAL,Race,framedata:Race,Election,framedata:Election,ELECTION IS A RACE,en,Hutchinson the front-runner in 2014 governor's race,www.thecitywire.com/node/26617,MetaNet,,
SOURCE_PATH_GOAL,SPATIAL_PRIMITIVE,SOURCE_PATH_GOAL,Race,framedata:Race,Election,framedata:Election,LOSING AN ELECTION IS LOSING A RACE,en,"While Perry appeared to be the frontrunner, Romney came out ahead in the GOP primary. ",MetaNet,MetaNet,,
SOURCE_PATH_GOAL,SPATIAL_PRIMITIVE,SOURCE_PATH_GOAL,Race,framedata:Race,Election,framedata:Election,LOSING AN ELECTION IS LOSING A RACE,en,"In the presidential race of 2008, John McCain came up short.",MetaNet,MetaNet,,
SOURCE_PATH_GOAL,SPATIAL_PRIMITIVE,SOURCE_PATH_GOAL,Race,framedata:Race,Election,framedata:Election,LOSING AN ELECTION IS LOSING A RACE,en,"During the Republican primary, several candidates jockeyed for the frontrunner position, but Huntsman quickly fell behind and bowed out. ",MetaNet,MetaNet,,
SOURCE_PATH_GOAL,SPATIAL_PRIMITIVE,SOURCE_PATH_GOAL,Race,framedata:Race,Election,framedata:Election,WINNING AN ELECTION IS WINNING A RACE,en,"In the Supervisors race, my candidate came out slightly ahead of his closest rival.",MetaNet,MetaNet,,
SOURCE_PATH_GOAL,SPATIAL_PRIMITIVE,SOURCE_PATH_GOAL,Race,framedata:Race,Election,framedata:Election,PHASE OF AN ELECTION IS LEG IN A RACE,en,"As Election Day drew near, the candidates pulled into the final lap of the race.",MetaNet,MetaNet,,
SOURCE_PATH_GOAL,SPATIAL_PRIMITIVE,SOURCE_PATH_GOAL,Race,framedata:Race,Election,framedata:Election,PHASE OF AN ELECTION IS LEG IN A RACE,en,Last Legs of Campaign Can Decide Race,http://www.thehoya.com/opinion/dulik-last-legs-of-campaign-can-decide-race-1.2903676#.UTe9P6KsiSo,MetaNet,,
SOURCE_PATH_GOAL,SPATIAL_PRIMITIVE,SOURCE_PATH_GOAL,Race,framedata:Race,Election,framedata:Election,PHASE OF AN ELECTION IS LEG IN A RACE,en,How both candidates fair in the final leg of campaigning will likely determine the winner in each state.,http://themaroontiger.com/presidential-election-takes-last-leg/,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,I saw an opportunity for success and grabbed it.,"[Lakoff & Johnson, 1999:53]",IScat ,"In MetaNet: “ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT”, wrong quote from original source",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,They just handed him the job.,"[Lakoff & Johnson, 1999:197]",IScat ,"In MetaNet: “ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT”, wrong quote from original source",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,"Fame and fortune were within my grasp, but once again they eluded me.","[Lakoff & Johnson, 1999:196]",IScat ,"In MetaNet: “ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT”, wrong quote from original source",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,"If you have a chance at a promotion, go for it!","[Lakoff & Johnson, 1999:196]",IScat ,"In MetaNet: “ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT”, wrong quote from original source",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,"I kept getting close to a world championship, but it kept escaping me.","[Lakoff & Johnson, 1999:196]",IScat ,"In MetaNet: “ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT”, wrong quote from original source",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,"He almost got his hands on the Johnson ranch, but it slipped through his fingers.","[Lakoff & Johnson, 1999:196]",IScat ,"In MetaNet: “ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT”, wrong quote from original source",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,She is pursuing an impossible dream.,"[Lakoff & Johnson, 1999:196]",IScat ,"In MetaNet: “ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT”, wrong quote from original source",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,He has interesting pursuits.,"[Lakoff & Johnson, 1999:196]",IScat ,"In MetaNet: “ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT”, wrong quote from original source",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,Latch onto a good job.,"[Lakoff & Johnson, 1999:196]",IScat ,"In MetaNet: “ACHIEVING A PURPOSE IS ACQUIRING A DESIRED OBJECT”, wrong quote from original source",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,He finally managed to get a smile out of her. ,[Grady 1998:112],MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Purpose,frame:Purpose,PURPOSES ARE DESIRED OBJECTS,en,She landed four huge accounts this year. ,[Grady 1998:112],MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Distress,frame:EmotionDirected,DISTRESS IS AN OBJECT,en,A passerby ... quickly realized his distress.,[IGloWbE],IScat ,Not in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Distress,frame:EmotionDirected,DISTRESS IS AN OBJECT,en,Cole’s friend shared a little of his distress over the death of Princess Diana.,[IGloWbE],IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Laughter,frame:Make_noise,LAUGHTER IS A SUBSTANCE,en,You can’t get a single joke out of him.,"[Lakoff et al., 1991:174]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Laughter,frame:Make_noise,LAUGHTER IS A SUBSTANCE,en,He’s full of laughs.,"[Lakoff et al., 1991:174]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Laughter,frame:Make_noise,LAUGHTER IS A SUBSTANCE,en,She let out a big laugh.,"[Lakoff et al., 1991:174]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Vitality,framedata:Physical_strength,VITALITY IS A SUBSTANCE,en,She’s brimming with vim and vigor.,"[Lakoff & Johnson, 1980:51]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Vitality,framedata:Physical_strength,VITALITY IS A SUBSTANCE,en,She’s overflowing with vitality.,"[Lakoff & Johnson, 1980:51]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Vitality,framedata:Physical_strength,VITALITY IS A SUBSTANCE,en,He’s devoid of energy.,"[Lakoff & Johnson, 1980:51]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Vitality,framedata:Physical_strength,VITALITY IS A SUBSTANCE,en,I don’t  have any energy left at the end of the day.,"[Lakoff & Johnson, 1980:51]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Vitality,framedata:Physical_strength,VITALITY IS A SUBSTANCE,en,I’m drained.,"[Lakoff & Johnson, 1980:51]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Vitality,framedata:Physical_strength,VITALITY IS A SUBSTANCE,en,That took a lot out of me.,"[Lakoff & Johnson, 1980:51]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sprinting,frame:SelfMotion,SPRINTING IS A SUBSTANCE,en,I couldn’t do much sprinting until the end.,"[Lakoff & Johnson, 1980:31]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Anger,framedata:Anger,ANGER IS A MIXED OR PURE SUBSTANCE,en,mixture of anger and emotion,[Stefanowitsch:22],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Anger,framedata:Anger,ANGER IS A MIXED OR PURE SUBSTANCE,en,mingling of anger and emotion,[Stefanowitsch:22],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Anger,framedata:Anger,ANGER IS A MIXED OR PURE SUBSTANCE,en,combination of anger and emotion,[Stefanowitsch:22],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Anger,framedata:Anger,ANGER IS A MIXED OR PURE SUBSTANCE,en,Anger be pure,[Stefanowitsch:22],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Anger,framedata:Anger,ANGER IS A MIXED OR PURE SUBSTANCE,en,Emotion is mixed with anger,[Stefanowitsch:22],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Anger,framedata:Anger,ANGER IS A MIXED OR PURE SUBSTANCE,en,Emotion is mingled with anger,[Stefanowitsch:22],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Anger,framedata:Anger,ANGER IS A MIXED OR PURE SUBSTANCE,en,trace of anger,[Stefanowitsch:22],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Anger,framedata:Anger,ANGER IS A MIXED OR PURE SUBSTANCE,en,combined anger,[Stefanowitsch:22],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Anger,framedata:Anger,ANGER IS A MIXED OR PURE SUBSTANCE,en,it diffuses his anger,[Stefanowitsch:22],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Happiness,framedata:Happiness,HAPPINESS IS A MIXED OR PURE SUBSTANCE,en,pure joy,[Stefanowitsch:31],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Happiness,framedata:Happiness,HAPPINESS IS A MIXED OR PURE SUBSTANCE,en,unalloyed joy,[Stefanowitsch:31],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Happiness,framedata:Happiness,HAPPINESS IS A MIXED OR PURE SUBSTANCE,en,mixed joy,[Stefanowitsch:31],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Happiness,framedata:Happiness,HAPPINESS IS A MIXED OR PURE SUBSTANCE,en,mixture of emotion and joy,[Stefanowitsch:31],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Happiness,framedata:Happiness,HAPPINESS IS A MIXED OR PURE SUBSTANCE,en,emotion combine with joy,[Stefanowitsch:31],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Happiness,framedata:Happiness,HAPPINESS IS A MIXED OR PURE SUBSTANCE,en,combine emotion with joy,[Stefanowitsch:31],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Happiness,framedata:Happiness,HAPPINESS IS A MIXED OR PURE SUBSTANCE,en,emotion mingle with y,[Stefanowitsch:31],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Happiness,framedata:Happiness,HAPPINESS IS A MIXED OR PURE SUBSTANCE,en,emotion and x be mingled,[Stefanowitsch:31],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,mingled suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,tinge of suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,amalgam of emotion and suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,combination of emotion and suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,mixture of emotion and suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,mixed emotions and suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,emotions are mingled with suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,emotions are mixed with suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,emotions are tinged with suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,event be(come) tinged with suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,suffuse be mixed with emotion,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,suffuse be tinged with emotion,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,emotion and suffuse mix,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,emotion tinge suffuse,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Sadness,framedata:Sadness,SADNESS IS A MIXED OR PURE SUBSTANCE,en,sadness suffuse event,[Stefanowitsch:36],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Disgust,framedata:Disgusting,DISGUST IS A MIXED OR PURE SUBSTANCE,en,pure disgust,[Stefanowitsch:37],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Disgust,framedata:Disgusting,DISGUST IS A MIXED OR PURE SUBSTANCE,en,combination of disgust and emotion,[Stefanowitsch:37],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Disgust,framedata:Disgusting,DISGUST IS A MIXED OR PURE SUBSTANCE,en,mixture of disgust and emotion,[Stefanowitsch:37],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Disgust,framedata:Disgusting,DISGUST IS A MIXED OR PURE SUBSTANCE,en,tinge of disgust,[Stefanowitsch:37],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Disgust,framedata:Disgusting,DISGUST IS A MIXED OR PURE SUBSTANCE,en,trace of disgust,[Stefanowitsch:37],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Disgust,framedata:Disgusting,DISGUST IS A MIXED OR PURE SUBSTANCE,en,disgust mixes with emotion,[Stefanowitsch:37],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Disgust,framedata:Disgusting,DISGUST IS A MIXED OR PURE SUBSTANCE,en,disgust is mingled with emotion,[Stefanowitsch:37],IScat ,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Emotion,frame:Feeling,EMOTIONS ARE SUBSTANCES,en,He's filled with jealousy.,MetaNet,MetaNet,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Emotion,frame:Feeling,EMOTIONS ARE SUBSTANCES,en,She's overflowing with love. ,MetaNet,MetaNet,In MetaNet “EMOTIONS ARE SUBSTANCES”,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Quality,framedata:Quality,QUALITIES ARE SUBSTANCES,en,He has a lot of smarts.,MetaNet,MetaNet,,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Quality,framedata:Quality,QUALITIES ARE SUBSTANCES,en,He's devoid of common sense. ,MetaNet,MetaNet,,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Time,frame:Timespan,TIME IS A SUBSTANCE,en,The flow of time ,MetaNet,MetaNet,,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Time,frame:Timespan,TIME IS A SUBSTANCE,en,"Like sands through the hourglass, so are the days of our lives. ",Days of Our Lives (TV show) ,MetaNet,,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,framedata:Liquid,Money,frame:Money,MONEY IS A LIQUID,en,The money is all dried up. ,MetaNet,MetaNet,Subclass of “MONEY IS A SUBSTANCE” in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,framedata:Liquid,Money,frame:Money,MONEY IS A LIQUID,en,Liquid assets. ,MetaNet,MetaNet,Subclass of “MONEY IS A SUBSTANCE” in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,framedata:Liquid,Money,frame:Money,MONEY IS A LIQUID,en,Currency,MetaNet,MetaNet,Subclass of “MONEY IS A SUBSTANCE” in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,framedata:Liquid,Money,frame:Money,MONEY IS A LIQUID,en,He's just sponging off of you. ,MetaNet,MetaNet,Subclass of “MONEY IS A SUBSTANCE” in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE DIRECTED AT AN AFFECTED PARTY,en,Apply more force to the edge of the lid.,"[Lakoff et al., 1991:170]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE DIRECTED AT AN AFFECTED PARTY,en,Direct more force at the hinges.,"[Lakoff et al., 1991:170]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE DIRECTED AT AN AFFECTED PARTY,en,Focus force on the weak spots.,"[Lakoff et al., 1991:170]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE DIRECTED AT AN AFFECTED PARTY,en,It took a lot of force to open it.,"[Lakoff et al., 1991:170]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE DIRECTED AT AN AFFECTED PARTY,en,Use more force in driving the nail.,"[Lakoff et al., 1991:170]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE DIRECTED AT AN AFFECTED PARTY,en,Exert more force on the lock.,"[Lakoff et al., 1991:170]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE DIRECTED AT AN AFFECTED PARTY,en,Put more force behind your punches.,"[Lakoff et al., 1991:170]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE DIRECTED AT AN AFFECTED PARTY,en,Back up your punches with more force.,"[Lakoff et al., 1991:170]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE CONTAINED IN AFFECTING CAUSES,en,Put more force into your punches.,"[Lakoff et al., 1991:171]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE CONTAINED IN AFFECTING CAUSES,en,His punches carry a lot of force.,"[Lakoff et al., 1991:171]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE CONTAINED IN AFFECTING CAUSES,en,Each sentence contained the force of an order.,"[Lakoff et al., 1991:171]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE CONTAINED IN AFFECTING CAUSES,en,His punches have a lot of force.,"[Lakoff et al., 1991:171]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE CONTAINED IN AFFECTING CAUSES,en,Her death hit us with a lot of force.,"[Lakoff et al., 1991:171]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE CONTAINED IN AFFECTING CAUSES,en,The force of the blow knocked me over.,"[Lakoff et al., 1991:171]",IScat ,Not in MetaNet,
SUBSTANCE,SPATIAL_PRIMITIVE,SUBSTANCE,Substance,frame:Substance,Force,framedata:Force,FORCE IS A SUBSTANCE CONTAINED IN AFFECTING CAUSES,en,The force added to the swing was enough to send the ball over the fence.,"[Lakoff et al., 1991:171]",IScat ,Not in MetaNet,
FORCE,IMAGE_SCHEMA,FORCE,Force,framedata:Force,Cause,frame:Causation,CAUSES ARE FORCES,en,The trial thrust O.J.'s attorney's into the limelight. ,MetaNet,MetaNet,,
FORCE,IMAGE_SCHEMA,FORCE,Force,framedata:Force,Cause,frame:Causation,CAUSES ARE FORCES,en,FDR's leadership brought the country out of the depression. ,MetaNet,MetaNet,,
FORCE,IMAGE_SCHEMA,FORCE,Force,framedata:Force,Cause,frame:Causation,CAUSES ARE FORCES,en,That experience pushed him over the edge ,MetaNet,MetaNet,,
